timestamp,eye_ar,head_direction,observation_complete
1770830945.7521346,0.266,FORWARD,0
1770830945.791853,0.246,FORWARD,0
1770830945.837473,0.214,FORWARD,0
1770830945.8815522,0.241,FORWARD,0
1770830945.9278526,0.256,LEFT,0
1770830945.9718366,0.241,LEFT,0
1770830946.018011,0.277,LEFT,0
1770830946.0654218,0.245,LEFT,0
1770830946.1052752,0.297,LEFT,0
1770830946.1498458,0.354,LEFT,0
1770830946.1945183,0.232,LEFT,0
1770830946.2391768,0.0,LEFT,0
1770830946.2819643,0.0,LEFT,0
1770830946.3285115,0.0,LEFT,0
1770830946.3756618,0.0,LEFT,0
1770830946.4229386,0.0,LEFT,0
1770830946.4685156,0.0,LEFT,0
1770830946.5190094,0.0,LEFT,0
1770830946.5592334,0.0,LEFT,0
1770830946.6048503,0.243,LEFT,0
1770830946.65058,0.0,LEFT,0
1770830946.6926224,0.0,LEFT,0
1770830946.7422948,0.322,LEFT,0
1770830946.785838,0.286,LEFT,0
1770830946.8309493,0.309,LEFT,0
1770830946.8803895,0.278,LEFT,0
1770830946.921596,0.289,FORWARD,0
1770830946.9670086,0.28,RIGHT,1
1770830947.0119507,0.0,RIGHT,1
1770830947.0554304,0.0,RIGHT,1
1770830947.1017206,0.0,RIGHT,1
1770830947.146706,0.0,RIGHT,1
1770830947.1967783,0.0,RIGHT,1
1770830947.246848,0.359,RIGHT,1
1770830947.2814853,0.0,RIGHT,1
1770830947.3276632,0.0,RIGHT,1
1770830947.3731623,0.0,RIGHT,1
1770830947.421041,0.0,RIGHT,1
1770830947.4666035,0.0,RIGHT,1
1770830947.5125482,0.0,RIGHT,1
1770830947.5604365,0.0,RIGHT,1
1770830947.6088965,0.381,RIGHT,1
1770830947.6551588,0.337,RIGHT,1
1770830947.6955118,0.0,RIGHT,1
1770830947.7434194,0.309,FORWARD,1
1770830947.791979,0.321,FORWARD,1
1770830947.8319876,0.315,FORWARD,1
1770830947.8770287,0.345,FORWARD,1
1770830947.920999,0.303,FORWARD,1
1770830947.9699926,0.326,FORWARD,1
1770830948.0099573,0.309,FORWARD,1
1770830948.0564766,0.281,FORWARD,1
1770830948.1004696,0.299,FORWARD,1
1770830948.1455374,0.291,FORWARD,1
1770830948.1939154,0.29,FORWARD,1
1770830948.2358346,0.264,FORWARD,1
1770830948.2828681,0.231,FORWARD,1
1770830948.329419,0.251,FORWARD,1
1770830948.373196,0.25,FORWARD,1
1770830948.416655,0.252,FORWARD,1
1770830948.460586,0.255,FORWARD,1
1770830948.5099275,0.255,FORWARD,1
1770830948.5531826,0.265,FORWARD,1
1770830948.6008854,0.26,FORWARD,1
1770830948.6441786,0.26,FORWARD,1
1770830948.6900992,0.276,FORWARD,1
1770830948.7365239,0.276,FORWARD,1
1770830948.7824426,0.266,FORWARD,1
1770830948.8313613,0.236,FORWARD,1
1770830948.870038,0.274,FORWARD,1
1770830948.9194415,0.256,FORWARD,1
1770830948.9600244,0.256,FORWARD,1
1770830949.0033822,0.271,FORWARD,1
1770830949.0505238,0.263,FORWARD,1
1770830949.0935724,0.266,FORWARD,1
1770830949.1372292,0.296,FORWARD,1
1770830949.1884468,0.265,FORWARD,1
1770830949.2275214,0.266,FORWARD,1
1770830949.2741168,0.277,FORWARD,1
1770830949.3246474,0.27,FORWARD,1
1770830949.3649175,0.285,FORWARD,1
1770830949.406426,0.277,FORWARD,1
1770830949.4497771,0.272,FORWARD,1
1770830949.4959254,0.281,FORWARD,1
